"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Czech Republic","CZE","Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100)","IQ.SPI.PIL5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","95","95","95","",
"Czech Republic","CZE","CPIA social protection rating (1=low to 6=high)","IQ.CPA.PROT.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czech Republic","CZE","Trademark applications, resident, by count","IP.TMK.RSCT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33458","33609","35219","34200","30278","25541","30445","29466","29563","30632","17644","19211","19301","20031","19065","20256","",
"Czech Republic","CZE","Investment in energy with private participation (current US$)","IE.PPI.ENGY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czech Republic","CZE","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57","57","57","39","32","35","32","32","30.5","30.5","30.5","30.5","30.5","24.5","24.5","24.5","24.5","",
"Czech Republic","CZE","Firms that spend on R&D (% of firms)","IC.FRM.RSDV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.8","","","","","","20.4","",
"Czech Republic","CZE","Cost to export, documentary compliance (US$)","IC.EXP.CSDC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","",
"Czech Republic","CZE","Human capital index (HCI), female, upper bound (scale 0-1)","HD.HCI.OVRL.UB.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.764823198318481","","","","","","","0.81","0.791007280349731","","0.784927487373352",
"Czech Republic","CZE","Interest payments (% of revenue)","GC.XPN.INTP.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.6090768075537","3.53204929359014","2.83669021494063","3.20379755353898","3.0440283482064","3.13229059198289","2.58067722718849","2.22402646054757","2.7985381632237","3.71348533756654","2.93346785358638","3.14426694798679","3.22274197274197","3.07412050072786","3.08891466584452","3.01902405207414","3.80530597506319","4.04586314612967","4.00482428577601","4.19792999708134","3.93827629023998","3.89273568762229","3.15834004140216","2.73985736089341","2.22412891959746","2.1847540815787","2.08352847229609","",
"Czech Republic","CZE","Customs and other import duties (current LCU)","GC.TAX.IMPT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15170000000","17359000000","17413000000","19608000000","15070000000","13528000000","12107000000","13572000000","10030000000","9602000000","10381000000","3888000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Czech Republic","CZE","Net incurrence of liabilities, total (% of GDP)","GC.LBL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.488421774655212","0.150359222994589","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czech Republic","CZE","Domestic credit to private sector (% of GDP)","FS.AST.PRVT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.5941909620442","65.7479281076259","65.0323935385822","63.3599470822821","64.5620804211415","56.7905068291923","51.4686662083114","44.9369292654829","37.1107266570148","23.6649669154234","24.3340775759602","25.6796961035747","29.2242119478293","33.84078931009","38.6820115283378","43.2270471893659","44.976430840195","46.3307595789495","48.3228930835879","49.4085468212571","50.6079084949808","49.4567294568092","49.5419833795206","51.0588043502507","50.9067076939694","51.3383176222557","50.281312971172","53.205621605978",
"Czech Republic","CZE","Claims on private sector (annual growth as % of broad money)","FM.AST.PRVT.ZG.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.6319865199154","15.7838696653141","11.1359704954212","9.82345845246419","-4.06667950261222","-5.36735174363952","-7.00173166981759","-7.96850963663614","-19.9289925690071","3.51584724003787","6.8078584238629","10.3653875572899","12.9328857913882","14.5422556135369","10.70010962125","1.14313003006991","2.6360822314437","4.09805179041801","2.01834137754973","2.56803433557268","1.67541629446312","4.27031998228585","4.3866633996099","3.98112889813704","4.15246001080699","2.98713723112994","2.47460294644111",
"Czech Republic","CZE","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.7281907051169","34.5127228482495","37.5277783909768","38.100763751771","38.2707895445911","39.8855253050941","41.6578534293698","43.7858771574142","45.703752638735","49.0464211721771","49.5883452876001","50.8595293979921","52.636313654391","55.6420453962343","57.1041190636485","57.9835059996529","57.1715388030878",
"Czech Republic","CZE","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20242","18655","18679","18200","17560","17231","18775","19475","20098","19210","19670","19384","20455","20431","20447","20395","20071","20420","21010","20763","19357.400390625","20135","20200","20952","21685","21751","","",
