"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"France","FRA","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","474.6000061035","487.700012207","619","757.5999755859","871.299987793","995.299987793","1278.9000244141","1557.4000244141","1697","1912.1999511719","1985.8000488281","2128.3999023438","2186.1000976563","2483.6999511719","2797.6999511719","2873.3000488281","3079.5","3385.6000976563","3681.6000976563","3819.3000488281","3995.8000488281","3778.8000488281","3840.5","3717.1000976563","4385.8999023438","4577.7001953125","4842.6000976563","5132","4773.6000976563","4968.3999023438","5224.34","4825.202","5030.16","5067.323","5584.213","5802.442","6135.028","6424.966","6187.796","6624.89","5079.71814764909","5068.76226392762","4626.15380961188","4327.126","4151.293","4098.31","4155.407","4260.597","4443.789","4522.586","2467.943",
"France","FRA","CPIA efficiency of revenue mobilization rating (1=low to 6=high)","IQ.CPA.REVN.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","CPIA business regulatory environment rating (1=low to 6=high)","IQ.CPA.BREG.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","Investment in transport with private participation (current US$)","IE.PPI.TRAN.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","Time required to start a business, male (days)","IC.REG.DURS.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","7","7","7","7","6.5","6.5","6.5","6.5","6.5","6.5","4.5","4","3.5","3.5","3.5","4","",
"France","FRA","Firms offering formal training (% of firms)","IC.FRM.TRNG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","Time to export, documentary compliance (hours)","IC.EXP.TMDC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","0.5","0.5","0.5","0.5","0.5","",
"France","FRA","Ease of doing business score (0 = lowest performance to 100 = best performance)","IC.BUS.DFRN.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.14755","76.25038","76.01011","76.77957","76.80465","",
"France","FRA","Other expense (current LCU)","GC.XPN.OTHR.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4329552089.54245","5000327765.38706","6555307741.20865","6768736365.34102","6021736180.87771","20985311335.4095","21488706682.2287","22130316015.1127","22407572109.6571","22797040136.9793","22964810372.141","23512871555.125","23686860283.8217","24392727799.0915","25214689254.9752","26198585366.7245","27041514803.2169","27997934953.8426","28772999148.585","29218474355.063","30197623434.5941","31283758767.4379","32230494552.8206","32529251291.8353","32826244809.8633","33074640487.1636","33474326906.1226","34099919783.0505","34682867424.1002","35307758025.2505","",
"France","FRA","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","167693918.961151","152449017.23741","60979606.8949642","30489803.4474821","30489803.4474821","45734705.1712231","45734705.1712231","45734705.1712231","91469410.3424462","76224508.6187052","76224508.6187052","76224508.6187052","91469410.3424462","91469410.3424462","106714312.066187","89487573.1183599","67992261.687885","31252048.5336691","45582256.1539857","43295520.8954245","0","0","30489803.4474821","21000000","10000000","39000000","38000000","24000000","19000000","7000000","5000000","-5000000","-11000000","73000000","-254000000","-98000000","-109000000","-97000000","-108000000","-17000000","-126000000","-38000000","-116000000","-120000000","-113000000","-127000000","-127000000","-118000000","",
"France","FRA","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","1.11058349671633","0.730416751576217","0.808238209142444","1.02763289782548","0.732573080352325","0.566453437016261","0.664694594899428","0.658477460757756","0.965102130063957","0.792160349185051","0.84811113552295","0.878821320191309","0.784852725830833","0.853099138415128","0.898304537144266","0.722241562744669","0.728289809600313","0.831717167496736","1.13300777086992","1.01241212138007","0.989383382882493","0.794200650337305","0.78042022034175","2.07449397630909","2.08062823713173","1.75134613316914","1.89104783208176","1.78658228878108","1.7031148023279","1.74158106878169","1.82185865102602","1.81986991818067","1.76729250084653","1.72670670279545","1.59921997715555","1.54572052581695","1.56732149489555","1.84505236978303","1.9210750923801","1.69668315059156","1.6824939056034","1.63235308704136","1.57403251053022","1.51544373444346","1.54722489166919","","","","",
"France","FRA","Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)","FX.OWN.TOTL.60.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.8512191772461","","","97.9570236206055","","","94.3599395751953","","","",
"France","FRA","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
