"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"United Kingdom","GBR","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.087355319","0.174230922","0.260615159","0.519762001","1.036609166","1.895168284","4.123650336","7.385398957","13.6699831","21.29363827","26.82175435","33.48109487","56.48","64.82","65.61","70","68.82","75.09","78.39","83.56","85","85.37999855","87.47999842","89.8441","91.61","92.00029987","94.77580063","90.42455049","90.69200899","92.51662855","94.81820132",
"United Kingdom","GBR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","441800","432200","435200","446300","429400","397100","409300","413300","462600","476900","477500","434000","433200","435600","457900","471700","498900","522900","573300","639100","670700","615500","654600","659400","684900","724800","772300","788900","801900","840800","876158","925638","924944","891154","970036","1018118","1037032","1044883","1056206","1003893","985109.023067177","1062692","1050702.90909091","1052640","1064175.7","1104117","1180312","1182696","1242985","1061464","334084.578",
"United Kingdom","GBR","CPIA public sector management and institutions cluster average (1=low to 6=high)","IQ.CPA.PUBS.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Trademark applications, total","IP.TMK.TOTL","","","","","","","","","","","","","","","","","","","","","20102","20881","20631","22100","22796","24323","39153","33399","38006","40052","39632","34983","35968","34764","41044","36743","33046","35944","36748","37940","42550","36691","35306","34194","36192","35500","38056","40044","35091","33846","36255","39113","42913","50005","54796","57892","67053","83756","94953","105674","",
"United Kingdom","GBR","Investment in ICT with private participation (current US$)","IE.PPI.ICTI.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","12","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","6","4.5","4.5","4.5","4.5","4.5","",
"United Kingdom","GBR","Firms experiencing losses due to theft and vandalism (% of firms)","IC.FRM.THEV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Time to export, border compliance (hours)","IC.EXP.TMBC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","24","24","24","24","24","",
"United Kingdom","GBR","Human capital index (HCI), male, upper bound (scale 0-1)","HD.HCI.OVRL.UB.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.766229391098022","","","","","","","0.782","0.776360809803009","","0.784399926662445",
"United Kingdom","GBR","Interest payments (% of expense)","GC.XPN.INTP.ZS","","","","","","","","","","","","","8.77813184624577","9.41098610191926","8.94830173236939","8.71517066686731","9.07202509644326","9.24453662096248","9.9086274250149","10.7683352735739","10.8947885939036","10.5180191344867","9.89096082333132","10.0345846484454","10.403619739479","10.6311225309138","10.6244512883401","11.4411462986863","11.2956454248882","10.855550991982","9.0097455198026","7.26211128315934","6.61201775430913","6.95156027269324","7.78417542170768","8.54308749713481","8.81834328873015","9.32984253269448","9.32425661423119","7.86536662911578","7.34682027675498","6.29358757039666","5.23237587679768","4.9682142212094","4.98671019861451","5.20386621974394","5.22431389752655","5.6941418437244","5.31330509997824","4.27216927601313","6.55242008721061","7.4286771005347","6.62549965541006","6.88611748986349","6.5943284125918","5.83725993784842","6.30364524914813","7.1023110705053","6.54341435867959","5.72171078172629","",
"United Kingdom","GBR","Customs and other import duties (% of tax revenue)","GC.TAX.IMPT.ZS","","","","","","","","","","","","","2.24704755825088","1.52768552623634","","","","","","","0.0861445160401089","0.173451380823819","0.260959649605938","0.105507756076116","0.0221020182632467","0","0.0477474161684688","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
