"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Croatia","HRV","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","240","2019","6320","11382","21664","33688","64943","120420","182500","295000","1033000","1755000","2312600","2537300","2835500","3649700","4395200","5034582","4554777","4675017","4928352","5115140","4971351","4721015","4461352","4415660","4414347","4315580","4388476","4404652","4375699",
"Croatia","HRV","Periodicity and timeliness assessment of statistical capacity (scale 0 - 100)","IQ.SCI.PRDC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.66667","96.66667","93.33333","93.33333","90","86.66667","83.33333","90","90","83.3333333333333","80","70.0001","73.3334","90","90","83.3334","90",
"Croatia","HRV","CPIA gender equality rating (1=low to 6=high)","IQ.CPA.GNDR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Industrial design applications, resident, by count","IP.IDS.RSCT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","446","577","733","622","732","585","508","407","572","375","367","316","",
"Croatia","HRV","Number of visits or required meetings with tax officials (average for affected firms)","IC.TAX.METG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.7","","","","","","2.9","","","","","","1.6","",
"Croatia","HRV","Strength of legal rights index (0=weak to 12=strong)","IC.LGL.CRED.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","5","5","5","5","",
"Croatia","HRV","Time required to obtain an operating license (days)","IC.FRM.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.5","","","","","","51.9","","","","","","35.6","",
"Croatia","HRV","Public credit registry coverage (% of adults)","IC.CRD.PUBL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Croatia","HRV","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.693299353122711","","","","","","","0.723","0.729365646839142","","0.709693968296051",
"Croatia","HRV","Taxes on income, profits and capital gains (% of revenue)","GC.TAX.YPKG.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.8543956043956","9.07117633718858","6.62683239649381","10.4115861504077","","","","","","","6.61990215368685","7.41130315347771","7.52180374118412","7.32456414598342","7.89060152707528","8.93737445247134","9.81390938722835","9.46113493155195","9.24366938711137","8.21744610307558","8.00203204144038","6.48132766079772","6.84632735886361","6.03499571178597","6.76873856557622","7.35001175999998","7.27968092385016","7.29419026888614","7.48505786048392","",
"Croatia","HRV","Revenue, excluding grants (current LCU)","GC.REV.XGRT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","145600000","926010000","14120170000","36528440000","","","","","","","81444663000","86728027000","90355136000","94772902000","101370117000","110245599000","121372162000","128153473000","121510036000","118519889000","117566500000","121726634000","120971852000","122307328000","130135001000","140131803000","146147683000","152998888000","162116342000","",
"Croatia","HRV","Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+)","FX.OWN.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.3910217285156","","","86.0250930786133","","","86.1434555053711","","","",
"Croatia","HRV","Lending interest rate (%)","FR.INR.LEND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1443.60835833333","22.9108583333333","20.2433333333333","22.515","15.4675","15.7525","14.9441666666667","12.0733333333333","9.54916666666667","12.84","11.5766666666667","11.7452333333333","11.1911166666667","9.93333333333333","9.33083333333333","10.0691666666667","11.5541666666667","10.3766666666667","9.68416666666667","9.48083333333333","9.24666666666667","8.58","","","","","","",
"Croatia","HRV","Total reserves in months of imports","FI.RES.TOTL.MO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.22936369403217","2.33391115096241","2.4201104721647","2.71645243585381","2.58822343485503","3.04361338702463","3.45512512434474","4.52674440019691","5.25064139850165","5.32806708043361","5.51224108377115","5.10712527553183","4.66215940733758","5.31265299980339","5.27019525946767","4.16863531295949","6.50685101849531","6.55272138490835","6.04592937722032","6.72861263154851","7.87161040589245","6.7209560644464","7.4766414321925","6.7039010936462","7.88919623082413","6.9715391151102","7.13768181802607","9.35170663328527",
"Croatia","HRV","Annual freshwater withdrawals, total (% of internal resources)","ER.H2O.FWTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.52122015915119","","","","","1.72671466472149","","","","","1.75331564986737","","","","","1.78488063660477","","","",
"Croatia","HRV","Population living in slums (% of urban population)","EN.POP.SLUM.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Bird species, threatened","EN.BIR.THRD.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","",
