"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Serbia","SRB","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4500","","","190","33000","","39","42","130","300","880",
"Serbia","SRB","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0851123388445528","0.129764046175445","0.030874474608193","0.0559299063149281","0.1211485319255","0.111239742292712","0.167820424590463","0.259194195861863","0.178680064137538","0.192143328621761","0.1840985326065","0.250530110708251","0.279038457469558","0.328485533587525","",
"Serbia","SRB","Medium and high-tech exports (% manufactured exports)","TX.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.666615551442","35.666615551442","35.666615551442","35.666615551442","35.666615551442","31.2078600949436","31.2078600949436","28.3811823874407","28.6823982405043","29.3306912189974","28.3379287391489","25.7870332150838","25.1684838732291","25.1684838732291","27.2946903943001","27.2946903943001","25.9582401622577","28.8356088033951","32.2334611520403","33.3671754659418","32.8172073065823","33.7786967162435","41.3627556627892","48.5884182040318","47.0904007989931","46.5444249831391","47.0255363622347","45.1837533838229","44.7948254986565","45.5722531801336","",
"Serbia","SRB","Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports)","TM.VAL.MRCH.OR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.73090060927397","11.226410917021","12.2416012337776","11.8782030501703","12.0576851844143","11.9252468464826","11.1473143421667","11.0201129378662","11.4039114238808","12.6632867710931","13.6119950518937","15.2850154270868","15.5687313078219","15.5008953254424","",
"Serbia","SRB","Tariff rate, applied, simple mean, primary products (%)","TM.TAX.TCOM.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.84","13.17","","","10.95","","9.7","9.83","7.38","6.77","6.15","","5.45","","3.38","3.38","3.57","3.71","","",
"Serbia","SRB","Tariff rate, applied, simple mean, manufactured products (%)","TM.TAX.MANF.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.89","9.61","","","7.75","","7.31","7.39","5.02","4.41","3.78","","7.51","","2.58","2.61","2.68","2.63","","",
"Serbia","SRB","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.6","","","","14.9","","","","","8.8","",
"Serbia","SRB","Population, female","SP.POP.TOTL.FE.IN","3357194","3378357","3396542","3412348","3426917","3439819","3462227","3480927","3497864","3512409","3525483","3545643","3565330","3584090","3602500","3620110","3646036","3668620","3688771","3706876","3722343","3744231","3761965","3776158","3786946","3794938","3811810","3823878","3832073","3837790","3841449","3847352","3874057","3901948","3921311","3867854","3866556","3858787","3847517","3836936","3827725","3823814","3822601","3816326","3808712","3797949","3783018","3767040","3749981","3733876","3718022","3688222","3670074","3652210","3635214","3617485","3598916","3580264","3561304","3542820","3524507",
"Serbia","SRB","Population ages 65 and above, total","SP.POP.65UP.TO","434961","446676","459403","472791","486259","499282","516676","533166","549230","564988","580670","600529","619785","637301","651921","662886","673630","681167","685049","684228","678410","671958","660502","647909","639389","637999","648827","664425","683668","704944","727193","755433","789173","824002","856825","872405","908174","939888","968099","993873","1017466","1035936","1052579","1064556","1071275","1071498","1073987","1071377","1067245","1067423","1074779","1088648","1111804","1139736","1170766","1203142","1229783","1256365","1281014","1301572","1316604",
"Serbia","SRB","Population ages 40-44, female (% of female population)","SP.POP.4044.FE.5Y","4.31137032040815","4.65426949488468","5.23860760990375","5.95167899790012","6.62216673191373","7.14407615171759","7.50578581948243","7.73900441102623","7.8661852977148","7.93213126099793","7.96577426328254","7.9553387710891","7.8985753836818","7.80073983580087","7.66971679895505","7.51115351271322","7.32883281679555","7.1433693327816","6.94275111533567","6.70525164996169","6.42544004738716","6.10685040120574","5.7432003872424","5.40774131623392","5.2097594009677","5.20973167628492","5.38908391797802","5.75075354964044","6.21995927108489","6.68033766001949","7.05637886765049","7.34848472388521","7.57950886262098","7.73492860922811","7.79929971154004","7.76632801392694","7.67785684058775","7.46682456397668","7.18405481209114","6.91107206546759","6.69999724728811","6.51650222100171","6.40609141955263","6.35528292016133","6.32999119962975","6.30692293726405","6.31123396432463","6.3222127680097","6.34103073335151","6.37383654380175","6.42371982658308","6.4968807917603","6.58490380573155","6.6787397034071","6.76527195665817","6.83486882154272","6.89135542017888","6.93657806823467","6.96707070977054","6.97848208986177","6.9688331633286",
